TABELA: DB2DPR.TRM
TS....: S1DPR001
========================================================================
:Todos os termos Natureza
ATRIBUIR                      ATBR |N
ATRIBUTO                      ATB  |N
ATUACAO                            |N
ATUAL                         ATU  |N
ATUALIZACAO                   ATL  |N
ATUALIZADO                    ATZD |N
ATUALIZAR                     ATLR |N
AUDIENCIA                     ADN  |N
AUDIOVISUAL                   ADVS |N
AUDITADO                      AUDO |N
AUDITAR                       AITR |N
AUDITOR                       AUDR |N
AUDITORIA                     AUD  |N
AUMENTO                       AUM  |N
AUSENCIA                      AUSC |N
AUTENTICACAO                  AUT  |N
AUTENTICADOR                  AUTN |N
AUTO                          AUTO |N
AUTO-ATENDIMENTO                   |N
AUTOATENDIMENTO               AAT  |N
AUTODESENVOLVIMENTO           ADES |N
AUTOMACAO                          |N
AUTOMATICO                    AUTC |N
AUTOMATIZACAO                 ATT  |N
AUTOMATIZAR                   ATTR |N
AUTOMOTOR                     AUTM |N
AUTONOMIA CONTABIL            ACTB |N
AUTONOMO                      ATNM |N
AUTOR                         AUR  |N
AUTORIA                       AURI |N
AUTORIDADE                    ADD  |N
AUTORIZACAO                   AUTZ |N
AUTORIZADO                    AUTD |N
AUTORIZADOR                        |N
AUTORIZAR                     AUTR |N
AUTORREGULADO                 AURD |N
AUTUACAO                      AUTU |N
AUXILIAR                      AUX  |N
AUXILIO                            |N
AVAL                          AVL  |N
AVALIACAO                     AVLC |N
AVALIADO                      AVLD |N
AVALIADOR                     AVLR |N
AVALIAR                       AVLA |N
AVALIAVEL                     AVLV |N
AVALISTA                      AVLT |N
AVARIA                        AVR  |N
AVERBACAO                     AVB  |N
AVERBAR                       AVBR |N
AVICULTURA                    AVIC |N
AVISADOR                           |N
AVISAR                             |N
AVISO                         AVS  |N
AVOCACAO                      AVCO |N
AVOCADO                       AVCD |N
AVOCAR                        AVCR |N
BACEN                              |N
BACKUP                        BKP  |N
BAIRRO                        BAI  |N
BAIXA                         BXA  |N
BAIXA CAPACIDADE              BXCP |N
BAIXADO                       BXAD |N
BAIXO                         BXO  |N
BALANCA                       BLN  |N
BALANCEAMENTO                 BLTO |N
BALANCETE                     BAL  |N
BALANCO                       BLC  |N
BALCAO                        BLCO |N
BANCARIO                      BCRO |N
BANCO                         BCO  |N
BANCO CENTRAL DO BRASIL       BC   |N
BANCO DE DADOS                DB   |N
BANCO DO BRASIL               BB   |N
BANCO INTERAMERICANO DE DESENVBID  |N
BANCO POPULAR                 BPB  |N
BANCO POPULAR DO BRASIL            |N
